party,rile,date
22951,-18.851,201703
22952,24.706,201703
22953,-31.111,201703
23111,-17.5,198906
23112,-22.5,198906
23220,-41.039,198906
23113,-30.726,201310
23230,-29.293,201310
23320,-24.589,201310
23420,-7.172,201310
23520,-7.753,201310
23951,4.678,201310
31623,21.461,195601
31521,-6.600000000000001,196211
31522,-4,196806
31523,-4,197303
31529,-11.7,197303
31621,23.5,198806
31622,15.4,198806
31111,0,199705
31625,3.279,199705
31021,-47.925,201206
31421,-22.378,201206
31630,-24.028,201206
31631,-16.667,201206
31110,-8.636000000000001,201706
31220,-16.667,201706
31230,-10.056,201706
31240,-30.019,201706
31320,-28.947,201706
31425,0,201706
31430,13.619,201706
31624,-17.92,201706
31626,13.619,201706
31720,1.674,201706
32322,-18.699,196805
32210,-14.318,198306
32211,-21.111,198706
32330,2.326,199204
32410,36.735,199204
32420,10.561,199204
32320,8.016,199403
32528,10.888,199403
32951,0,199403
32310,33.333,199604
32321,35.294,199604
32520,18.033,199604
32521,35.185,199604
32529,33.667,199604
32111,-7.584000000000001,200105
32220,-7.584000000000001,200105
32421,-7.584000000000001,200105
32522,18.68,200105
32901,-8.805,200105
32110,-17.71,200604
32212,-17.71,200604
32213,-17.71,200604
32221,-17.71,200604
32329,-17.71,200604
32611,48.19,200604
32629,48.19,200604
32710,48.19,200604
32903,-17.71,200604
32952,48.19,200604
32953,-17.71,200604
32955,-17.71,200604
32902,9.302,200804
32021,-20.531,201302
32061,3.81,201302
32230,-19.43,201302
32450,24.49,201302
32460,1.19,201302
32530,33.652,201302
32640,-10.227,201302
32904,6.759,201302
32906,-18.182,201302
32022,-13.777,201803
32031,-18.531,201803
32051,-5.856,201803
32055,11.798,201803
32090,5.882000000000001,201803
32440,-8.268,201803
32451,-2.074,201803
32610,15.625,201803
32630,7.692,201803
32720,4.656,201803
32956,-7.429,201803
33430,-7.207,198210
33438,1.58,198606
33439,1.58,198606
33901,-23.499,198910
33512,-26.119,199306
33904,-14.879,200003
33906,-12.063,200403
33903,-6.656000000000001,200803
33909,-13.781,200803
33910,1.19,200803
33091,-16.393,201111
33092,-17.241,201111
33093,-23.461,201111
33440,-22.222,201111
33611,-10.857,201111
33612,-17.839,201111
33020,-45.683,201512
33099,-18.149,201512
33025,-36.919,201606
33096,-41.427,201606
33097,-43,201606
33098,-34.488,201606
33911,-16.781,201606
33913,0,201904
33095,-35.802,201911
33210,-37.633,201911
33220,-39.657,201911
33230,-30.068,201911
33320,-28.654,201911
33420,-15.293,201911
33610,4.481,201911
33710,33.005,201911
33902,-10.193,201911
33905,-27.398,201911
33907,-14.943,201911
33908,-32.55,201911
33912,-16.879,201911
33914,-23.047,201911
33915,-8.929,201911
33916,-1.818,201911
34510,-16.333,197711
34610,12.281,197711
34314,-17.166,199609
34512,16.618,199609
34211,-24.951,200004
34020,-35.556,201205
34710,7.02,201205
34210,-44.348,201509
34212,-22.234,201509
34213,NA,201509
34214,-40.426,201509
34313,-24.455,201509
34340,NA,201509
34410,-1.393,201509
34511,17.515,201509
34720,NA,201509
34730,NA,201509
35316,4.734,198010
35317,4.734,198010
35710,9.6,198304
35310,-30.392,198510
35210,12.264,198707
35312,17.857,198707
