party_V228,left_right_V95
275005,4.583333333333333
275006,5
275007,4.1
275008,4.625
276001,5.671474358974359
276002,4.61
276003,5.27906976744186
276004,3.9594594594594597
276005,3.284263959390863
276016,3.6666666666666665
276017,5
276018,6
276026,7.7
276031,2.5
276032,4.583333333333333
276033,5.242424242424242
288026,5.463362068965517
288027,5.733532934131737
288028,5.557377049180328
288029,10
288030,5
288031,8
288032,4.857142857142857
288035,5
332001,2.9833333333333334
332002,2.769230769230769
332003,2.5994550408719346
332004,2.751937984496124
332005,2.9473684210526314
332006,4.428571428571429
332007,2.6
332008,2.1666666666666665
332009,2.8
344001,5.2
344002,5.8
344003,6.1571428571428575
344004,4.7375
344005,5.900621118012422
344006,5
344007,5
344008,4.5
344009,5.068627450980392
344010,5.875
344012,6
344013,5.348837209302325
344014,4.95
344015,5.923076923076923
344017,5.818181818181818
344018,5.2272727272727275
344019,5.979591836734694
344020,5.166666666666667
344021,5.54
344022,5.333333333333333
356003,5.411764705882353
356004,3.9714285714285715
356005,2.891566265060241
356006,5.873239436619718
356010,7.147058823529412
356011,6.6
356014,5.133333333333334
356015,8.333333333333334
356016,5.476190476190476
356017,5.6502732240437155
356019,5
356021,6
356023,7
356026,1
356033,5.75
356036,5
356044,7
356059,5.461538461538462
356067,6.031521739130435
356068,5.731327800829876
356079,4.882352941176471
356081,6
356088,5.357142857142857
356090,8
356092,7.666666666666667
356093,8
356094,5.449275362318841
356095,7.4
356096,7.104761904761904
356097,5
356098,5.6
356099,8.833333333333334
368003,5.357142857142857
368004,4.833333333333333
368005,5.705882352941177
368006,7.333333333333333
368014,5.391304347826087
368015,5.225
368016,7.381720430107527
368017,6.3580246913580245
368018,6.177215189873418
368019,4.7272727272727275
368020,5
368021,4.2
392001,6.659259259259259
392002,5.201612903225806
392003,5.7894736842105265
392004,3.575
392011,4.529411764705882
392016,4.333333333333333
392017,5.538011695906433
392018,4.25
392019,6.266666666666667
398001,5.923076923076923
398002,6.434782608695652
398003,6.516666666666667
398004,7.333333333333333
398005,6.933333333333334
398006,6.888888888888889
398007,5
398008,6.186725663716814
398009,5.571428571428571
398010,6.1
410001,6.259803921568627
410002,4.694078947368421
410003,5.486486486486487
410004,4.403225806451613
410005,3.75
417001,6.541213063763608
417002,6.719836400817996
417003,6.252631578947368
417004,6.531531531531532
417006,6.666666666666667
417007,6.9
417008,7
417009,5.333333333333333
417010,7.333333333333333
417011,3.5
417012,5.25
