ccodewb,party,partynum,dw,d2,d5,d1,d4,e2,partysize
HRV,HDSSB,9,8.5,4.125,7.8666668,4.0999999,8.1999998,2.7857144,1.23
HRV,SDSS,10,3.6666667,3.3333333,3.2727273,2.8181818,1.625,3.1333334,1.75
HRV,SDP,2,2.9375,3.0625,1.75,3.125,2.1875,3.6875,26.900002
HRV,HSU,7,5.1428571,2.3571429,4.5,2.1333334,3.75,3.1875,4.0500002
HRV,HNS,3,3.5625,6.25,2,6.3125,2,3.375,7.4000001
HRV,HSP,6,9,3.5625,8.3125,4,8.25,3,4.9499998
HRV,HSLS,5,5.5,6.8125,3.375,5.9375,4.375,2.75,2.8
HRV,IDS,8,3.3333333,6.2857141,2,5.7692308,1.5625,2.9375,2.075
CZE,Communist Party of Bohemia and Moravia,4,1.3333334,1.4583334,5.2173915,1.5,5.2173915,3.3199999,15.65
CZE,Civic Democratic Party,1,8.708333,8.916667,4.5,8.083333,6.8333335,3.6800001,29.950001
CZE,Czech Social Democratic Party,2,2.7916667,3.3333333,4.25,2.7916667,3.8695652,3.76,31.25
CZE,Green Party,5,5.4583335,5.6666665,2.0952382,5.3684211,2.3333333,3.3199999,4.3500004
CZE,Christian and Democratic Union - Czechoslovak People's Party,3,5.7199998,5.1199999,7.8400002,4.4000001,6.1199999,3.1538463,8.7999992
DNK,Socialist People's Party (SF),4,2.8,2.7333333,2.7857144,2.7333333,2.5714285,3.6666667,9.5
DNK,Liberals (Venstre),5,7.3333335,7.3333335,4.7142859,6.6666665,6.1999998,3.5333333,27.650002
DNK,Social Liberals (Det Radikale Venstre),2,5.1333332,5.4666667,2.5,5.6666665,2.4000001,3.6428571,7.1499996
DNK,Unity List (Enhedslisten),7,1.3333334,1.6666666,2.5,1.6,1.9333333,3.7333333,2.8000002
DNK,Danish People's Party (Dansk Folkeparti),6,7.3333335,5.0666666,7.2142859,4.2666669,9.4666662,3.8,13.549999
DNK,Conservatives (Det Konservative Folkeparti),3,7.6666665,7.5999999,5.0714288,7.5999999,6.2666669,3.5999999,10.35
DNK,Social Democrats (Socialdemokratiet),1,4.1333332,3.8666666,3.6428571,3.5999999,5.0666666,3.5999999,25.700001
DNK,New alliance (Ny alliance),8,7.8000002,8.4285716999999991,2.9166667,8,4,3.8,1.4
DOM,PRD,1,6.181818,5.5999999,5,4.7272725,5.0999999,3.0833333,36.514999
DOM,PRSC,2,7.3636365,6.0999999,5.3636365,5.4444447,8,2.909091,17.599998
DOM,Partido de la Liberación Dominicana,3,7,5.818182,5.090909,5,6.2222223,3.5833333,37.75
ECU,PRIAN,5,8.5384617,7.0769229,6.4166665,5.5833335,7.7692308,1.8571428,17.199999
ECU,Pachakutik,4,2.7692308,2.7692308,4.5833335,3.7692308,1.9230769,3.2142856,2.25
ECU,Izquierda Democrática,2,4.8461537,4.3076925,4.6666665,4,4.3076925,3.1428571,5.5500002
ECU,Partido Social Cristiano,1,9,7.0769229,7.4166665,6.2307692,8,2.5714285,9.6000004
ECU,Partido Sociedad Patriotica,6,6.7692308,5.9166665,5.3636365,4.2307692,5.3333335,2.2142856,12.950001
ECU,PRE,3,6.0769229,5.4615383,5.6666665,3.7272727,5.7272725,2.1428571,4.25
EGY,Tagammu,4,2.75,2.75,3.5714285,3.25,3.5714285,2.625,0.88105726
EGY,Wafd,3,7.5,7.5,5,6.625,3.875,2.375,1.4317181
EGY,Muslim Brotherhood,2,6.125,6,8.25,4.5555553,7.375,3.125,11.563877
EGY,National Democratic Party,1,6.3333335,5.25,7.125,5.3333335,4.5555553,2.5555556,76.982376
SLV,Partido Demócrata Cristiano,4,8.1538458,6.5833335,7.5833335,6.0769229,7.3000002,2.3846154,6.6999998
SLV,Alianza Republicana Nacionalista,1,9.6153851,7.8461537,7.4615383,6.3846154,7.8333335,3.3846154,39
SLV,Partido de Conciliación Nacional,3,9.1538458,7.3636365,7.5,6.6923075,7.6666665,2.3846154,9.8999996
SLV,P. Farabundo Martí para la Liberación Nacional,2,1.9230769,3.6153846,5.3076925,3.2307692,4.8333335,3.3076923,41.150002
EST,Reform,1,8.5555553,9.4444447,4.5555553,8.666667,6.7777777,3.6666667,22.75
EST,Rohelised,6,5.8000002,6,4,7,3.8,3.4444444,3.55
EST,Rahvaliit,4,5.3333335,4.5555553,7.125,3.8888888,7,2.8888888,10.05
EST,IRL,3,8.333333,7.5555553,7.8888888,6.8888888,8.666667,3.5555556,24.9
