year,party_id,party,lrgen,lrecon,galtan,redistribution
2019,220,NB,9,8.571428298950195,8.307692527770996,8.785714149475098
2019,301,CDU,5.857142925262451,5.904761791229248,5.857142925262451,5.947368621826172
2019,302,SPD,3.61904764175415,3.714285612106323,3.38095235824585,3.052631616592407
2019,303,FDP,6.428571224212646,7.904761791229248,3.428571462631226,8.578947067260742
2019,304,GRUNEN,3.238095283508301,3.809523820877075,1.095238089561462,3.421052694320679
1999,305,REP,9.214285850524902,7.222222328186035,9.416666984558105,NA
2019,306,LINKE,1.428571462631226,1.285714268684387,2.809523820877075,0.8947368264198303
2019,308,CSU,7.190476417541504,6.38095235824585,7.285714149475098,6.315789699554443
2014,309,NPD,10,5.333333492279053,9.818181991577148,5.599999904632568
2019,310,AfD,9.2380952835083,7,9.523809432983398,6
2019,311,Piraten,2.142857074737549,2.400000095367432,1.333333373069763,2.5
2019,312,DieTier,2.333333253860474,3,1.5,NA
2019,401,PASOK,4.333333492279053,4.222222328186035,3.888888835906982,3.777777671813965
2019,402,ND,7.111111164093018,7.222222328186035,7.44444465637207,7.333333492279053
2019,403,SYRIZA,2.333333253860474,2.222222328186035,2.444444417953491,1.333333373069763
2019,404,KKE,0.2222222238779068,0.1111111119389534,6.625,0.1111111119389534
1999,408,POLA,7.571428775787354,6.714285850524902,7,NA
2010,409,DIKKI,5,2.599999904632568,6.666666507720947,0.6000000238418579
2014,410,LAOS,8.666666984558105,5.333333492279053,8.333333015441895,5.5
2010,411,OP,2.25,2.625,0.625,1.625
2014,412,ANEL,8.777777671813965,5.111111164093018,8.55555534362793,5.166666507720947
2014,413,Potami,4.888888835906982,5.666666507720947,2.111111164093018,4
2014,414,DIMAR,3.222222328186035,3.444444417953491,2.555555582046509,2.444444417953491
2019,415,XA,10,3.375,10,2.75
2019,416,EL,9,4.375,9.375,3.571428537368774
2019,417,MR25,1.428571462631226,1.75,0.6666666865348816,1
2019,418,KIDISO,4.199999809265137,4.800000190734863,3.200000047683716,3.599999904632568
2019,501,PSOE,3.599999904632568,3.799999952316284,2.933333396911621,2.799999952316284
2019,502,PPP,8.066666603088379,7.933333396911621,8,7.266666889190674
2019,504,IU,1.866666674613953,1.799999952316284,2.200000047683716,1.399999976158142
2014,505,CiU,6.199999809265137,7,6.199999809265137,6.5
2019,506,PNV,6,5.800000190734863,5.666666507720947,5.333333492279053
2014,507,EA,4.333333492279053,4.125,4.5,4.777777671813965
1999,508,EH,1.272727251052856,1.799999952316284,4.388888835906982,NA
1999,510,PAR,6.181818008422852,6.272727489471436,5.958333492279053,NA
2019,511,ERC,3.200000047683716,3.400000095367432,2.866666555404663,3
1999,512,UV,6.041666507720947,5.727272510528564,5.875,NA
2019,513,BNG,3.142857074737549,2.923076868057251,3.083333253860474,2.916666746139526
1999,514,VERDE,2.888888835906982,2.375,1.888888835906982,NA
2002,516,PA,5.2,4.86,4.43,NA
2019,517,CC,6.714285850524902,6.357142925262451,6.307692527770996,5.75
2014,518,ICV,2.111111164093018,2,0.8888888955116272,1.600000023841858
1999,519,PSC,4.208333492279053,4.227272510528564,3.708333253860474,NA
2010,520,CHA,2.900000095367432,2.555555582046509,2,2
2010,521,CpE,5.400000095367432,5.400000095367432,5.400000095367432,5.5
2010,522,EdP-V,2.857142925262451,3,2.166666746139526,3
2014,523,UPyD,5.666666507720947,6,3.111111164093018,4.666666507720947
2019,524,EHB,1.285714268684387,1.466666698455811,1.75,1.916666626930237
2019,525,Podemos,1.933333277702332,2.133333444595337,1.333333373069763,1.666666626930237
2019,526,Cs,7.199999809265137,7.400000095367432,5.466666698455811,6.533333301544189
2019,527,Vox,9.714285850524902,9.333333015441895,9.666666984558105,8.333333015441895
2019,528,Pais,2.733333349227905,2.799999952316284,1.666666626930237,2.333333253860474
2019,550,PdeCat,6.666666507720947,6.866666793823242,5.866666793823242,6.214285850524902
2019,601,PCF,1.125,1.125,3.75,0.5
2019,602,PS,3,3.125,2.75,2.25
2014,603,PRG,3.818181753158569,3.75,3.416666746139526,2.777777671813965
2019,605,EELV,2.5,2.875,1.625,2.375
2019,609,LR,7.875,8.125,6.875,7.375
2019,610,RN,9.75,6.875,8.125,4
2014,612,MPF,9.100000381469727,8,8.909090995788574,7.142857074737549
2019,613,MoDem,6.125,6.25,4.5,5.857142925262451
1999,614,LO-LCR,0.1428571492433548,0.2142857164144516,6,NA
2002,615,DL,7.07,8.17,5.92,NA
1999,617,MEI,4,5,3,NA
1999,618,D,7.658333301544189,9,9,NA
1999,619,CPNT,7.800000190734863,7.25,7.875,NA
1999,620,MN,8.278571128845215,8.571428298950195,9.714285850524902,NA
2014,621,NC,6.272727489471436,6.888888835906982,6.222222328186035,6.428571224212646
2014,622,PRV,6.142857074737549,6.5,5.857142925262451,6
2014,623,AC,6.599999904632568,6.800000190734863,6.166666507720947,6
2014,624,PG,1.700000047683716,1.111111164093018,2.400000095367432,0.699999988079071
2014,625,Ensemble,2.5,2.333333253860474,3.5,2
2019,626,LREM,6.333333492279053,6.333333492279053,3.166666746139526,5.833333492279053
2019,627,FI,1.25,0.875,3.125,0.625
2019,628,DLF,9,7,8.285714149475098,6.400000095367432
2019,701,FF,5.428571224212646,5.428571224212646,5.714285850524902,4.857142925262451
2019,702,FG,5.857142925262451,6.428571224212646,4.285714149475098,5.857142925262451
2019,703,Lab,3.571428537368774,3.571428537368774,2.857142925262451,3.285714387893677
2019,705,GP,3.142857074737549,3.142857074737549,2.142857074737549,3
2006,706,PD,8.1,8.5,4.11,7.329999923706055
2019,707,SF,2.571428537368774,2.142857074737549,4.428571224212646,2.285714387893677
2014,708,SP,0.875,0.5,1.857142806053162,0.8571428656578064
2019,709,S-PBP,0.800000011920929,0.4000000059604645,2,1
2019,710,DS,3,2.333333253860474,2.833333253860474,2.833333253860474
2019,711,I4C,3.25,2.75,3,3.75
2019,712,RI,8,7.599999904632568,7.800000190734863,7.75
2006,802,DS,2.71,3,2.88,2.170000076293945
2014,803,RC,0.2857142984867096,0.1428571492433548,1,0.25
2010,805,AN,7.333333015441895,5.222222328186035,7.333333015441895,4.875
1999,806,PRI,5,5.800000190734863,5.166666507720947,NA
2006,807,SDI,3.86,3.83,1.38,3
2010,808,VERDI,1.75,2,0.75,2
2019,811,LN,8.789473533630371,7.684210300445557,9.210526466369629,7.315789699554443
2019,813,RI,4.3125,6.599999904632568,0.4117647111415863,5.714285850524902
2014,814,UDC,5.285714149475098,5.285714149475098,7.857142925262451,6
2019,815,FI,6.947368621826172,7.842105388641357,6.842105388641357,6.888888835906982
1999,817,UD,5,5,5,NA
2002,818,CDU,6,5.29,7.85,NA
2006,819,DL,4,4.43,5.13,3.329999923706055
1999,820,LB,4.599999904632568,8.199999809265137,0.6000000238418579,NA
1999,821,MS,9.666666984558105,5.166666507720947,9.600000381469727,NA
1999,822,PdUP,2.16666674613953,1,3,NA
2002,823,PPI,4.42,4.21,5.38,NA
1999,824,PsDA,4.199999809265137,3.666666746139526,6.25,NA
2002,825,RI,5.23,5.77,5.83,NA
1999,826,SEG,6,6.400000095367432,4.599999904632568,NA
2019,827,SVP,5.166666507720947,5.125,6.666666507720947,5.199999809265137
2010,828,IdV,4,4.714285850524902,3.5,3.75
2006,829,UDEUR,5,4.29,7.75,3.670000076293945
2006,830,PP,5.75,4.5,8,3.75
2006,832,MRE,4.33,4.75,3.83,4.5
2006,835,NPSI,5.43,5.67,3.57,5.199999809265137
2010,836,PdCI,0.7999999523162842,1,1.285714387893677,0.7142857313156128
2019,837,PD,3.21052622795105,3.578947305679321,2.263157844543457,2.722222328186035
2019,838,SI,1.444444417953491,1,0.6875,1
2010,839,PSI,4.142857074737549,3.333333492279053,1.5,2.75
2010,840,MpA,6.285714149475098,4.5,6.833333492279053,3.25
2010,842,SD,2.142857074737549,1.857142806053162,1.142857193946838,1
2014,843,CD,5,5,6.285714149475098,5
2019,844,FdI,9.052631378173828,6.388888835906982,9.421052932739258,5.529411792755127
2019,845,M5S,4.777777671813965,3.21052622795105,3.736842155456543,1.894736886024475
2014,846,SC,5.428571224212646,7.571428775787354,5.428571224212646,6.75
2014,847,VdA,4.833333492279053,4.5,6,2
2014,848,NCD,6.142857074737549,6,8,7
2019,1001,CDA,6.846153736114502,6.692307472229004,7.153846263885498,6
2019,1002,PvdA,3.615384578704834,3.615384578704834,3.076923131942749,2.833333253860474
2019,1003,VVD,7.615384578704834,8.15384578704834,5,8.25
2019,1004,D66,5.153846263885498,6.230769157409668,1.384615421295166,5.75
2019,1005,GL,2.307692289352417,2.384615421295166,0.8461538553237915,2.181818246841431
2019,1006,SGP,8.538461685180664,7.166666507720947,9.923076629638672,7.166666507720947
1999,1007,GPV,6.699999809265137,5.800000190734863,8.636363983154297,NA
1999,1008,RPF,6.800000190734863,6,8.545454978942871,NA
1999,1009,CD,9.375,8.571428298950195,9.25,NA
2019,1014,SP,1.384615421295166,1.384615421295166,4.307692527770996,0.75
2002,1015,LPF,8.375,8.11,5.44,NA
2019,1016,CU,5.07692289352417,4.307692527770996,8.15384578704834,4.181818008422852
2019,1017,PVV,8.692307472229004,6.461538314819336,7.230769157409668,5.833333492279053
2019,1018,PVdD,2.384615421295166,3.181818246841431,2.923076868057251,3.111111164093018
2019,1020,50PLUS,5.083333492279053,4.454545497894287,5.599999904632568,4.400000095367432
