country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_gal_tan,ches_economy,ches_redistribute,dalp_short,dalp_id,dalp_left_right,dalp_gal_tan,dalp_economy,dalp_redistribute,dalp_identity,mp_id,mp_short,mp_left_right,wvs_short,wvs_id,wvs_left_right
MEX,446,PVEM,,,,,,,PVEM,MEX-4,7.06,6.9,5.64,5.79,5.64,171101,PVEM,-10.53,,,
MKD,3973,ally,,,,,,,,,,,,,,89228,SPM/MDPSM/SRSM,-3.25,,,
MKD,8840,BM,,,,,,,,,,,,,,,,,,,
MKD,354,DA,,,,,,,,,,,,,,89321,DA,10.47,,,
MKD,4544,DOM,,,,,,,,,,,,,,89330,DOM,-23.06,,,
MKD,431,DPA,,,,,,,DPA,MKD-5,,6.89,5,5.5,2.7,89910,DPA/PDSh,3.88,,,
MKD,5660,DPTM/TDP,,,,,,,,,,,,,,89920,DPT/TDP,-26.15,,,
MKD,1220,DUI,,,,,,,DUI,MKD-4,2.71,6.3,5.5,6.4,2.9,89940,DUI/BDI,-19.15,,,
MKD,2784,indep,,,,,,,,,,,,,,,,,,,
MKD,171,LDP,,,,,,,,,,,,,,89224,LDP,3.92,,,
MKD,2449,LP,,,,,,,,,,,,,,89222,SRSM,-3.33,,,
MKD,6623,MDPS,,,,,,,,,,,,,,89223,MDPSM,-11.89,,,
MKD,5462,ND,,,,,,,,,,,,,,,,,,,
MKD,3179,NDP,,,,,,,,,,,,,,89930,NDP/RDK,-29.77,,,
MKD,4257,NDP,,,,,,,,,,,,,,,,,,,
MKD,2447,NSDP,,,,,,,NSDP,MKD-3,2.44,3.33,4.71,6,3.22,89230,NSDP,-16.2,,,
MKD,7867,PCERM,,,,,,,,,,,,,,89953,PCER,11.86,,,
MKD,155,PDP,,,,,,,,,,,,,,89952,PDP,15.22,,,
MKD,1033,PDP,,,,,,,,,,,,,,89959,PDPM/PDP,25.08,,,
MKD,4545,PEI,,,,,,,,,,,,,,89810,PEI,-7.93,,,
MKD,1508,SDSM,,,,,,,SDSM,MKD-1,2.6,2.75,3.7,5.2,3.64,89221,SKM-PDP,-17.6,,,
MKD,1088,SJM,,,,,,,,,,,,,,89420,SJM,11.77,,,
MKD,2448,SM,,,,,,,,,,,,,,89227,SM,-13.86,,,
MKD,724,SPM,,,,,,,,,,,,,,89320,SPM,,,,
MKD,1674,VMRO — DPMNE,,,,,,,????-?????,MKD-2,7.4,7.33,5.22,5.4,6.27,89710,VMRO-DPMNE,-14.25,,,
MKD,4258,VMRO — NP,,,,,,,,,,,,,,89511,VMRO-NP,-8.46,,,
MLI,2477,ADEMA — PASJ,,,,,,,ADEMA-PASJ,MLI-4,5.62,5.71,5.11,3.6,4.57,,,,,,
MLI,2478,CNID,,,,,,,CNID,MLI-5,5.14,5.71,4.75,3.8,4.29,,,,,,
MLI,2319,RPM,,,,,,,RM,MLI-2,4.75,5.71,4.38,4,3.71,,,,,,
MLI,2476,URD,,,,,,,UPRD,MLI-1,7,5.71,5,4.6,3.57,,,,,,
MLI,2475,US — RDA,,,,,,,US-RDA,MLI-3,2.5,7,4.88,1.4,5.29,,,,,,
MLT,808,MLP,PL,3701,6.14,2,6.43,3.71,,,,,,,,54320,PL,-18.52,,,
MLT,699,PN,PN,3702,6.14,6.57,6.43,3.57,,,,,,,,54620,PN,-18.1,,,
MNE,3982,ally,,,,,,,,,,,,,,91959,DK,7.58,,,
